Driver,session_id,season,Avg_Lap_Time,Avg_Sector_1_Time,Avg_Sector_2_Time,Avg_Sector_3_Time
88,2019_6,2019,85.997333,22.911692,39.136538,24.123916
5,2019_7,2019,83.977222,23.470045,27.015818,34.310833
44,2019_7,2019,83.181687,23.457238,26.02238,33.766125
16,2019_7,2019,81.896842,23.098272,26.1525,33.043666
3,2019_7,2019,84.491785,24.5673,27.24005,35.254071
10,2019_7,2019,78.754333,23.409705,25.231588,31.024333
77,2019_7,2019,86.835,23.588473,27.011473,37.992642000000004
27,2019_7,2019,83.732066,24.149476,27.307904,34.1148
4,2019_7,2019,83.981071,23.929,27.41985,33.654214
55,2019_7,2019,83.873,24.061,26.086,34.523538
20,2019_7,2019,88.444272,23.963666,27.367333,36.349727
33,2019_7,2019,80.939,23.190916,25.84675,31.779
26,2019_7,2019,83.56223,23.883,26.897529,32.999153
99,2019_7,2019,86.4525,23.505375,26.567187,36.3105
23,2019_7,2019,85.251916,24.830687,27.535687,34.2485
8,2019_7,2019,86.204727,24.8868,28.0128,33.866727
11,2019_7,2019,86.16975,24.3815,26.343,37.56625
7,2019_7,2019,86.062125,24.1059,26.891,35.392
18,2019_7,2019,84.515833,24.025888,26.965222,33.481666
63,2019_7,2019,87.080375,24.4662,27.1904,36.029
88,2019_7,2019,84.056875,24.0837,27.0708,33.561375
44,2019_8,2019,109.559066,28.4566,33.24455,47.281562
77,2019_8,2019,103.392428,27.142315,31.286315,45.713333
16,2019_8,2019,106.508785,28.242894,32.835736,46.388428
33,2019_8,2019,104.223428,27.267894,31.877315,46.116
4,2019_8,2019,108.235466,27.428047,33.459333,48.445933
55,2019_8,2019,109.2536,28.105904,32.512714,48.757733
5,2019_8,2019,109.739714,29.364894,32.900368,47.614857
3,2019_8,2019,114.540785,29.786842,33.593684,50.189142
10,2019_8,2019,107.855538,29.130631,32.609315,47.171076
99,2019_8,2019,109.31475,29.143588,33.443411,48.005583
23,2019_8,2019,111.5645,29.804785,33.350714,48.4586
7,2019_8,2019,108.4119,28.983285,32.814357,49.0747
27,2019_8,2019,110.807,29.131133,32.816533,48.582272
11,2019_8,2019,109.967454,29.653733,33.926933,47.186272
20,2019_8,2019,110.210666,29.827117,34.163941,50.371
26,2019_8,2019,117.03475,31.499,34.546,50.40175
8,2019_8,2019,109.441333,27.921888,34.247222,53.667
18,2019_8,2019,113.2435,30.550333,33.686,54.237285
63,2019_8,2019,106.7144,27.833625,31.50175,47.1714
88,2019_8,2019,107.293166,28.379875,32.35175,48.004166
16,2019_9,2019,77.744769,18.021384,34.560055,26.763444
44,2019_9,2019,77.16215,18.72545,34.899615,24.431923
33,2019_9,2019,74.49325,18.527,33.299588,25.357647
77,2019_9,2019,77.439611,18.21121,34.37484,26.732582999999998
20,2019_9,2019,79.146692,18.527928,36.12545,27.476210000000002
4,2019_9,2019,78.600583,18.230461,35.320526,27.305166
7,2019_9,2019,80.844437,19.274647,34.981304,26.689
99,2019_9,2019,80.6374,19.691,34.463909,26.887619
10,2019_9,2019,74.78275,17.775692,33.657722,25.549588
5,2019_9,2019,81.354,18.012571,35.005777,28.323444
8,2019_9,2019,79.986928,18.519,36.099722,26.386166
27,2019_9,2019,79.363,18.80775,33.684583,28.247666
23,2019_9,2019,81.169363,18.853727,34.6746,28.418333
3,2019_9,2019,78.543125,18.830625,34.312083,26.994916
55,2019_9,2019,82.016888,18.214777,35.462833,27.576666
11,2019_9,2019,73.6304,18.009666,35.243125,25.454
18,2019_9,2019,75.043,17.679666,35.364444,25.327888
26,2019_9,2019,77.343833,18.9245,34.79475,24.112
63,2019_9,2019,80.5759,18.453,35.72625,25.680583
88,2019_9,2019,74.1375,18.162875,32.493636,23.61109
77,2019_10,2019,95.638428,30.680285,39.08915,26.59115
44,2019_10,2019,96.462454,30.906636,39.101312,26.762687
16,2019_10,2019,97.432416,30.983583,40.326764,27.949294
33,2019_10,2019,97.789062,31.103,40.614523,26.673809
10,2019_10,2019,98.602466,31.613933,40.797476,28.600428
5,2019_10,2019,97.215615,31.301076,39.913842,27.689105
3,2019_10,2019,97.8006,30.976,40.708523,27.576428
4,2019_10,2019,98.480937,31.275375,40.695476,27.36719
23,2019_10,2019,99.040666,31.600888,40.689791,27.043208
27,2019_10,2019,97.648133,31.338266,40.181761,27.622904
99,2019_10,2019,97.8705,31.479928,40.370277,27.671111
7,2019_10,2019,99.142928,31.666357,40.716166,27.811388
55,2019_10,2019,97.727818,30.099272,40.3392,28.4204
8,2019_10,2019,98.929153,30.713384,41.217823,27.948235
11,2019_10,2019,96.9392,30.4662,39.589285,28.338
20,2019_10,2019,101.519428,31.026428,41.721333,29.318111
26,2019_10,2019,99.55525,32.252375,40.0911,28.095
18,2019_10,2019,93.761833,30.63,39.816666,26.507666
63,2019_10,2019,95.168285,30.288857,39.045777,27.525888
88,2019_10,2019,99.537375,30.861,39.9444,30.0282
44,2019_11,2019,90.363153,20.352714,45.740052,29.603
33,2019_11,2019,92.184818,20.347833,47.680823,30.22225
77,2019_11,2019,93.041384,19.385071,44.913578,32.383
10,2019_11,2019,89.16,19.3834,46.082733,30.995714
7,2019_11,2019,91.954384,19.88623,40.693166,32.377388
8,2019_11,2019,89.16123,18.509142,44.04795,29.842157
55,2019_11,2019,86.945571,17.8242,42.337714,30.09235
11,2019_11,2019,88.993,17.9995,44.671533,32.762933
27,2019_11,2019,83.059777,18.6328,42.828933,29.561571
16,2019_11,2019,92.438857,18.212571,42.981666,33.275777
99,2019_11,2019,87.0047,19.337454,40.1134,30.410285000000002
20,2019_11,2019,85.506714,18.146142,41.838181,30.42309
3,2019_11,2019,86.485,19.209875,44.390666,31.514833
26,2019_11,2019,91.308909,19.457181,43.2798,32.2962
18,2019_11,2019,84.0736,17.7764,41.805133,30.841
